key;version;w_key;w_wins1v1;w_wins2v2;l_key;l_wins1v1;l_wins2v2;date;notes
350;1.09v3.1b09;ASTRO;5;0;ECTH;3;0;2025-04-13;
349;1.09v3.1b08;YUSUF;5;0;ASTRO;3;0;2025-04-09;
348;1.09v3.1b08;ASTRO;5;0;OTTO;3;0;2025-04-08;
347;1.09v3.1b07;ANDY;5;0;ASTRO;3;0;2025-04-05;
346;1.09v3.1b05;ASTRO;5;0;OTTO;3;0;2025-04-02;
345;1.09v3.1b05;YUSUF;5;0;OTTO;3;0;2025-04-02;
344;1.09v3.1b05;ASTRO;5;0;OTTO;4;0;2025-04-01;
343;1.09v3.1b05;ASTRO;5;0;OTTO;1;0;2025-03-31;
342;1.09v3.1b05;ANDY;5;0;ASTRO;3;0;2025-03-31;
341;1.09v3.1b05;ANDY;5;0;ASTRO;0;0;2025-03-30;
340;1.09v3.0;ANDY;5;0;ECTH;2;0;2025-03-29;
339;NO_SCORE_MODE;ECTH;0;0;LOLO;0;0;2025-03-25;
338;1.09v3.1b05;YUSUF;5;0;ASTRO;2;0;2025-03-24;
337;1.09v3.1b02;YUSUF;5;0;ASTRO;2;0;2025-03-17;
336;1.09v3.0;YUSUF;5;0;ASTRO;2;0;2025-02-24;
335;1.09v3.0;AHWE;5;0;LOLO;3;0;2025-01-16;
334;1.09v3.0;LOLO;4;0;FALCON;1;0;2025-01-10;
333;1.09v3.0;ENUMA;5;0;FALCON;0;0;2025-01-05;
332;1.09v3.0;OTTO;5;0;ASTRO;2;0;2024-12-29;
331;1.09v3.0;AHWE;5;0;YUSUF;3;0;2024-12-23;
330;1.09v3.0;AHWE;5;0;GANNICUS;1;0;2024-12-22;
329;1.09v3.0;GANNICUS;5;0;ASTRO;0;0;2024-12-22;
328;NO_SCORE_MODE;VIOLENCE;0;0;FALCON;0;0;2024-12-21;Apparently falcon refused to play against violence? Or something like that.
327;1.09v3.0;FALCON;5;0;GRENDAL;2;0;2024-12-19;wtf spek
326;1.09v3.0;GRENDAL;5;0;VIOLENCE;4;0;2024-12-17;
325;KICK_AND_ADD_AT_10;RAKI;0;0;ANDY;0;0;2024-12-16;Undy asked to be removed from the list and recommended to add raki
324;1.09v3.0;OTTO;4;0;ANDY;2;0;2024-12-16;undy mad and left
323;1.09v3.0;ASTRO;5;0;OTTO;4;0;2024-12-16;
322;1.09v3.0;ASTRO;5;0;OTTO;3;0;2024-12-15;
321;1.09v3.0;GRENDAL;5;0;FALCON;2;0;2024-12-13;Grendy spanked falcon on the bottom without consent
320;1.09v3.0;FALCON;5;0;GRENDAL;1;0;2024-12-12;wtf losing?
319;1.09v3.0;ASTRO;5;0;OTTO;3;0;2024-12-11;When are you ever gonna play tradicional 1v1+2v2 challenges?
318;NO_SCORE_MODE;GRENDAL;0;0;JASKIER;0;0;2024-12-10;Jaskier cowardly dodged mighty Gr3nd4l
317;1.09v3.0;AHWE;5;0;YUSUF;4;0;2024-12-09;
316;1.09v3.0;ASTRO;5;0;OTTO;3;0;2024-12-06;
315;1.09v3.0;ASTRO;5;0;OTTO;4;0;2024-12-05;
314;NO_SCORE_MODE;ASTRO;0;0;JASKIER;0;0;2024-12-04;
313;1.09v3.0;GANNICUS;5;0;OTTO;1;0;2024-12-03;
312;KICK_AND_ADD_AT_10;ASTRO;0;0;ECTH;0;0;2024-12-03;rip bumbi hi astro
311;1.09v3.0;YUSUF;5;0;AHWE;4;0;2024-11-24;
310;1.09v3.0;OTTO;5;0;ASTRO;4;0;2024-11-24;
309;1.09v3.0;AHWE;5;0;GANNICUS;4;0;2024-11-21;
